# Start Date: 1 Jan 2026
# End Date: 29 May 2026


Account Name,Followers,Engagements,Best Time to post,Members
Carte Blanche (Bluesky),871,368,Sunday 21:00,0


Post,Post Text,Likes,Comments,Shares
https://bsky.app/profile/did:plc:q6ucu4l7g4eltm4bku6oxu2k/post/3mmxqxhezc42d,"Mud-caked cellars, uprooted trellises, vast expanses of vineyard reduced to swampland. The historic Robertson Wine Valley rebuilds after historic floods. That’s #CarteBlanche this Sunday at 7pm on M-Net channel 101, and DStv Stream.

 #SouthAfrica #News ",0,0,0
https://bsky.app/profile/did:plc:q6ucu4l7g4eltm4bku6oxu2k/post/3mmwkfujzes2h,"They were promised an Afrikaner utopia – freedom, ownership and work. Families put everything on the line – but now they are trapped in limbo. That’s #CarteBlanche this Sunday at 7pm on M-Net channel 101, and DStv Stream. 

#SouthAfrica #News",0,1,1
https://bsky.app/profile/did:plc:q6ucu4l7g4eltm4bku6oxu2k/post/3mmvr2ocbqc2g,"You can watch our full investigation now on the #CarteBlanche YouTube channel. 
- PART 1: youtu.be/o5xNhFwQPQE
- PART 2: youtu.be/H0xKhPNLhhs
- PART 3: youtu.be/B_IrPOlXmfI",0,0,0
https://bsky.app/profile/did:plc:q6ucu4l7g4eltm4bku6oxu2k/post/3mmvqzmdpa22g,JUST IN: Convicted midwife Yolande Maritz Fouchee was sentenced to 23 years behind bars following the deaths of two babies born at her You & Me maternity centre. Two more babies were also born with cerebral palsy as a result of malpractice at the centre. #CarteBlanche,0,1,1
https://bsky.app/profile/did:plc:q6ucu4l7g4eltm4bku6oxu2k/post/3mmtzx4wx7b2j,"A legacy built by generations of farmers, threatened by historic floods in a matter of hours. What can be saved from the wreckage? That’s #CarteBlanche this Sunday at 7pm on M-Net channel 101, and DStv Stream. 

#SouthAfrica #News",0,0,0
https://bsky.app/profile/did:plc:q6ucu4l7g4eltm4bku6oxu2k/post/3mmtdgwtwzy2m,"A skateboard, a stranger, and a journey that went viral – as crowds gather, communities rally and South Africans show up for something good. That’s #CarteBlanche this Sunday at 7pm on M-Net channel 101, and DStv Stream. 

#SouthAfrica #News",0,0,0
https://bsky.app/profile/did:plc:q6ucu4l7g4eltm4bku6oxu2k/post/3mmmkdvnfec2p,"When #CarteBlanche first visited Philippi a decade ago, we found a community already under pressure. When we returned in 2023, that fight had taken on a new form amid an outbreak of taxi violence. Now, Philippi Village is proving just how resilient it is. You can rewatch our 2023 story now.",2,0,0
https://bsky.app/profile/did:plc:q6ucu4l7g4eltm4bku6oxu2k/post/3mmmkd5y7uk2p,"Philippi on the Cape Flats has a strange dual identity. On the one hand, a historic farming district that produces a significant portion of Cape Town’s fresh produce. On the other, a densely populated apartheid-era township notorious for violent crime. #CarteBlanche #SouthAfrica #News",2,0,1
https://bsky.app/profile/did:plc:q6ucu4l7g4eltm4bku6oxu2k/post/3mmmjvronww25,"As Koos van der Westhuizen prepares to hand over the keys to Middelpos Hotel, he has a message for the new owner of the town of Middelpos in the Karoo. #CarteBlanche #SouthAfrica #News #Travel",2,0,0
https://bsky.app/profile/did:plc:q6ucu4l7g4eltm4bku6oxu2k/post/3mmmjmtfqpf22,"Talk about inflation! Siblings Vivian and Leonard grew up in Middelpos in the Karoo. Now, as the tiny town goes up for sale, they revisit some of their favourite spots. #CarteBlanche #southafrica #news ",1,0,0


Hashtag,Engagement
#carteblanche,
#southafrica,
#news,
#crime,
#travel,
#sports,
#russia,
#ukraine,
#cancer,
#space,


Member,Engagement,Posts
Carte Blanche,368,438


