"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"29 May","Driven by the green energy transition, electic cars and a global shift to digital, the appetite for copper is massive. Syndicates now pull off elaborate heists - forklifts, trucks and all. Watch the full #CarteBlanche story later on @dstv_southafrica Stream and Catch Up.  #southafrica #news #crime #cctv #fyp #foryou","https://www.tiktok.com/@carteblanchetv101/video/7570777682472914183","9 November","54572","696","13553","1648577"
"29 May","On social media, Thanda Choir is shown to be a global sensation. But back home, choir members allegedly struggle to survive. #CarteBlanche #SouthAfrica #News #fyp","https://www.tiktok.com/@carteblanchetv101/video/7630523226870844692","19 April","89957","1200","2547","1340134"
"29 May","Our source claims the conveyor belt transferring Citro-Soda from the crushing section to where flavour is added is 'disintegrating', increasing the possibility of possible product contamination. Adcock Ingram says the conveyor belts are inspected regularly and replaced if necessary. The company also says that the finished product is inspected hourly during packaging. For the full #CarteBlanche story, go to @dstv_southafrica Stream.  #southafrica #news #fyp","https://www.tiktok.com/@carteblanchetv101/video/7609662934850997525","22 February","22702","664","6492","966652"
"29 May","The eThekwini Municipality insisted we visit this soup kitchen to prove their facilities were adequate. But one woman in the queue disagreed… #CarteBlanche @masakekana  #southafrica #news #fyp #crime #food","https://www.tiktok.com/@carteblanchetv101/video/7638303104634539272","10 May","49821","1195","1775","880102"
"29 May","André Boshoff is a paramedic and resident of Glenharvie on the West Rand. He says zama zamas have turned their once-tranquil mining town into a war zone. #CarteBlanche  #southafrica #news #fyp #cctv","https://www.tiktok.com/@carteblanchetv101/video/7633114624774212884","26 April","14907","174","852","591386"
"29 May","One farmer hired a private investigator after he lost 280 sheep to an elaborate con. To date, we've spoken to close to 20 people who've had contact with this same conman - Joseph Nquru. And guess what: he's been in prison since at least 2011! Get the full #CarteBlanche story on @dstv_southafrica Stream.  #southafrica #news #fyp #crime #scam","https://www.tiktok.com/@carteblanchetv101/video/7620098327538896149","22 March","5866","39","163","462155"
"29 May","Thanda Choir managers, Julio Teixeira and Luke Bernhadi, are adamant every cent made from choir performances goes towards the organisation. When asked to share their financials with us, we were met with an attempt to gag us with an NDA from their lawyers. #CarteBlanche #SouthAfrica #News #fyp","https://www.tiktok.com/@carteblanchetv101/video/7630527540679003413","19 April","21676","447","686","436789"
"29 May","Burnett Hermanus is believed to have shot Cloete and Thomas Murray in 2023. According to investigative journalist, Kyle Cowan, he was known to police. Hermanus was never questioned, and in October this year, he was killed outside a Joburg hospital. Watch the full story on @dstv_southafricaStream and Catch Up. #CarteBlanche #SouthAfrica #news #fyp #foryou","https://www.tiktok.com/@carteblanchetv101/video/7573373038725516552","16 November","6196","35","1145","388065"
"29 May","The Thanda Choir performs globally - from Brazil to Paris. International tours mean higher fees, but the choir seemingly doesn't reap the rewards... #CarteBlanche #SouthAfrica #News #fyp","https://www.tiktok.com/@carteblanchetv101/video/7630524757452082453","19 April","17528","684","423","359156"
"29 May","With tuition fees of R97,000 per year, some parents at the Africa School of Excellence say their children are only given Weet-Bix without milk, and instant noodles with some veggies. Head of Transition, Dr Maboreng Maharaswa denies this. #CarteBlanche  #southafrica #news #fyp","https://www.tiktok.com/@carteblanchetv101/video/7633107080047562004","26 April","7649","181","420","347384"
"29 May","No, this is not a cement factory... Our source claims the extraction system at this Citro-Soda lemon flavour processing plant didn't work, exposing workers to potential health risks. Adcock Ingram denies the extraction system is dysfunctional. For the full #CarteBlanche story, go to @dstv_southafrica Stream.  #southafrica #news #fyp","https://www.tiktok.com/@carteblanchetv101/video/7609660082963418388","22 February","3853","31","670","320758"
"29 May","Former Thanda Choir member Prince Maqhajana was stunned to learn one of his songs was allegedly used without his knowledge in a recent documentary. #CarteBlanche #southafrica #news #fyp","https://www.tiktok.com/@carteblanchetv101/video/7630525856414289172","19 April","13468","188","172","307880"
"29 May","Earlier this week, South African couple Mel and Peet Viljoen were arrested for alleged "aggravated grand retail theft over $3,000" in Boca Raton, Florida. The Viljoens - known to #CarteBlanche viewers for the Tammy Taylor Nails franchise saga - were taken into custody on Tuesday and are currently held on $10,000 bond. We were given this bodycam footage of their arrest by the Boca Raton Police Services Department. If  you missed any of our previous reports on the Viljoens and Tammy Taylor, you can view those stories now on the Carte Blanche website. #southafrica #news #fyp #crime #bodycam #florida","https://www.tiktok.com/@carteblanchetv101/video/7617090997444513044","14 March","5475","221","1790","209569"
